"eventid","hhnum","whogotpnum","whogot_flag","athome","schoolmeal_flag","date","date_flag","startmon","daynum","daynum_flag","placeid","placecateg","placecateg_ers","placetype","placeedit_type","placeedit_filltype","chain","placeedit_spaces","placeedit_case","placeedit_name","placeclean_flag","placedist_s","placedist_d","placetime_d","placedist_w","placetime_w","placesnap","placesnaptype","free","free_flag2","totalpaid","totalpaid_flag","tipamt","tipamt_flag","receiptreportedph","receiptobserved","couponsreported","loyaltycard","paytypenum","cash","check","creditcard","debitcard","ebt_snap","ebt_tanf","giftcard","schoollunchcard","paytype_flag","iteminfotype","breakfast","lunch","dinner_supper","snack_drink","multmeals","meals_flag","atepnum1","atepnum2","atepnum3","atepnum4","atepnum5","atepnum6","atepnum7","atepnum8","atepnum9","atepnum10","atepnum11","atepnum12","atepnum13","atepnum14","numhhpeople","numotherpeople","booktype","bookpnum","whogotate","bookownergot","bookownerate","bookownerate_flag","startdate_flag","practice_flag","capture_flag","frommemory"
55091,111745,8,0,0,0,10/5/2012,0,10,3,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-996,-996,-996,-996,1,-996,"Youth",8,1,1,1,0,0,0,1,0
55092,111745,8,0,0,0,10/8/2012,0,10,6,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-996,-996,-996,-996,1,-996,"Youth",8,1,1,1,0,0,0,1,0
69406,111923,5,0,0,0,9/16/2012,0,9,2,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,4.58,0,-996,0,-996,0,-996,-996,0,,,,,,,,,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-996,-996,-996,-996,-996,-996,1,-996,"Youth",5,1,1,1,0,0,0,1,0
70148,111974,1,0,0,0,8/30/2012,0,8,2,2,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,7,0,,0,-996,0,0,0,0,,,,,,,,,4,2,0,1,0,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
70149,111974,1,0,0,0,8/30/2012,0,8,2,2,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,180.73,0,23,0,-996,0,0,0,0,,,,,,,,,4,2,0,0,1,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
70152,111974,1,0,0,0,8/31/2012,0,8,3,2,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,53.65,0,10,0,-996,0,0,0,0,,,,,,,,,4,2,0,0,1,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
70154,111974,1,0,0,0,8/31/2012,0,8,3,2,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,12.72,0,,0,-996,0,0,0,0,,,,,,,,,4,2,0,1,0,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
70155,111974,1,0,0,0,9/2/2012,0,8,5,2,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,25.71,0,,0,-996,0,0,0,0,,,,,,,,,4,2,0,0,1,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
60992,112058,3,0,0,0,6/28/2012,3,6,2,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,10.68,5,,0,-996,,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,4,0,1,0,0,0,0,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Adult",3,1,1,1,0,1,0,1,0
68320,112526,4,0,0,0,11/12/2012,0,11,4,3,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,,0,-996,0,-996,0,-996,-996,0,,,,,,,,,0,2,,,,,0,0,0,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",4,1,1,1,0,0,0,1,0
68561,112826,1,0,0,0,8/14/2012,0,8,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,11.35,0,,0,-996,4,0,0,0,,,,,,,,,4,3,,,,,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
52752,112917,1,0,0,0,9/23/2012,0,9,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,,0,-996,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,6,0,0,1,0,0,0,1,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,2,,"Primary",1,1,1,1,0,0,0,1,0
