"hhnum","eventid","itemnum","bundlenum","bundletype","menugrp","nonschmealitem","itemdesc","itemdescsource","quantity","quantity_flag","size","size_flag","sizeunit","sizeunit_flag","sizerelative","gramstotal","additem_flag","itemcost","itemcost_flag","totitemcost","free","free_flag2","impitemcost","impcostmethod","imptotcost"
118170,30435,1,,,"GEN",-996,"SPINACH WRAP",6,2,0,,0,,0,,148.645402061856,0,0,0,0,1,0,,-996,
118170,30435,3,,,"BEV",-996,"ICE TEA WITH LEMONADE",6,2,0,,0,,0,,900.588778979907,0,0,0,0,1,0,,-996,
118170,30435,2,,,"GEN",-996,"ICE CREAM SUNDAE",6,1,0,,0,,0,,126,0,0,0,0,1,0,,-996,
118170,30437,1,,,"GEN",-996,"HOT DOG SANDWICH",6,2,0,,0,,0,,210,0,0,0,0,1,0,,-996,
118170,30437,2,,,"BEV",-996,"POP",6,1,0,,0,,0,,394.736206896552,0,0,0,0,1,0,,-996,
118170,30454,3,,,"BEV",-996,"ICE TEA WITH LEMONADE",6,1,0,,0,,0,,450.294389489953,0,0,0,0,1,0,,-996,
118170,30454,1,,,"GEN",-996,"MEATBALL HOAGIE",6,1,0,,0,,0,,429.103448275862,0,0,0,0,1,0,,-996,
118170,30454,2,,,"GEN",-996,"CAULIFLOWER",5,1,0,,0,,0,,39.65,0,0,0,0,1,0,,-996,
118170,30456,5,,,"GEN",-996,"EGGS",6,1,0,,0,,0,,53.3926174496644,0,0,0,0,1,0,,-996,
118170,30456,2,,,"GEN",-996,"CORN FLAKES",6,1,0,1,6,"BOWL",0,,26.994701986755,0,0,0,0,1,0,,-996,
118170,30456,4,,,"GEN",-996,"TOAST",6,2,0,2,0,,0,,78.8235294117647,0,0,0,0,1,0,,-996,
118170,30456,3,,,"GEN",-996,"COFFEE CAKE",6,1,0,,0,,0,,39.6490909090909,0,0,0,0,1,0,,-996,
118170,30456,1,,,"GEN",-996,"RAISIN BREAD",6,1,0,1,6,"BOWL",0,,42.9535443037975,0,0,0,0,1,0,,-996,
118170,30458,2,,,"GEN",-996,"CUBED POTATOES",6,1,0,,0,,0,,56.9022968197879,0,0,0,0,1,0,,-996,
118170,30458,1,,,"GEN",-996,"ROAST BEEF",6,1,0,,0,,0,,83.8817021276596,0,0,0,0,1,0,,-996,
118170,30458,3,,,"GEN",-996,"BROCCOLI",5,1,0,,0,,0,,80.7220754716981,0,0,0,0,1,0,,-996,
118170,30458,4,,,"GEN",-996,"KEY LIME PIE",6,1,0,1,0,"SLICE",0,,110.278070175439,0,0,0,0,1,0,,-996,
118170,30459,1,,,"GEN",-996,"EGG AND CHEESE BAKE",6,1,0,,0,,0,,91,0,0,0,0,1,0,,-996,
118170,30459,2,,,"GEN",-996,"WHITE TOAST",6,1,0,,0,,0,,41.5599137931034,0,0,0,0,1,0,,-996,
118170,30459,3,,,"BEV",-996,"COFFEE",6,6,0,,0,,0,,1530.34551724138,0,0,0,0,1,0,,-996,
118170,30460,2,,,"GEN",-996,"ASSORTED COOKIES",6,4,0,,0,,0,,164.931506849315,0,0,0,0,1,0,,-996,
118170,30460,1,,,"GEN",-996,"PEANUT BUTTER SANDWICH",6,2,0,,0,,0,,302.25,0,0,0,0,1,0,,-996,
118170,30460,3,,,"BEV",-996,"REGULAR SODA, COCA COLA, COKE, PEPSI",6,1,0,,0,,0,,408.99695281894,0,0,0,0,1,0,,-996,
118170,30461,4,,,"GEN",-996,"CHEESECAKE WITH TOPPING",6,1,0,1,0,"SLICE",0,,115.330930232558,0,0,0,0,1,0,,-996,
118170,30461,3,,,"GEN",-996,"ZUCCHINI",6,1,0,,0,,0,,77.7090476190476,0,0,0,0,1,0,,-996,
118170,30461,1,,,"GEN",-996,"CHICKEN BURGER",6,1,0,,0,,0,,227.95,0,0,0,0,1,0,,-996,
118170,30461,5,,,"BEV",-996,"ICE TEA WITH LEMONADE",6,2,0,2,0,,0,,900.588778979907,0,0,0,0,1,0,,-996,
118170,30461,2,,,"GEN",-996,"FRENCH FRIES",5,1,0,,0,,0,,55.1330415430267,0,0,0,0,1,0,,-996,
118170,30464,4,1,6,"GEN",-996,"MASHED POTATOES",6,1,0,1,0,"SERVING",0,,129.081832191781,0,0,0,0,1,0,,-996,
118170,30464,5,1,6,"GEN",-996,"GRAVY",6,1,0,,0,,0,,58.2549549549551,2,0,0,,1,0,,-996,
